id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment,standardized_name,standardized_primary_muscle,standardized_secondary_muscle,standardization_notes
6485,Stability Ball Dead Bug,https://youtu.be/5jDEulwWs04,https://youtu.be/Sa4ZWmnSC5o,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Stability Ball,Dead Bug,Abs,Obliques,Removed equipment prefix for clarity
6486,Bodyweight Glute Bridge,https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE,https://youtu.be/wPM8icPu6H8,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight,Bodyweight Glute Bridge,Glutes,Hamstrings,Standardized muscle terminology
6487,Bodyweight Bird Dog,https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6,https://youtu.be/-LRjkbEy-qU,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight,Bodyweight Bird Dog,Abs,Glutes,Standardized muscle terminology
6488,Stability Ball Russian Twist,https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk,https://youtu.be/fh-sDpg1P48,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Russian Twist,Obliques,Abs,Removed equipment prefix for clarity
6489,Stability Ball Feet Elevated Crunch,https://youtu.be/ByXVlY2L3nw,https://youtu.be/meo3bhh8NPk,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Feet Elevated Crunch,Abs,Iliopsoas,Removed equipment prefix for clarity
6490,Ring Hanging Knee Raise,https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Ring Hanging Knee Raise,Abs,Iliopsoas,Standardized muscle terminology
6491,Parallette Mountain Climber,https://youtu.be/W0RoAqlFzrA,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars,Parallette Mountain Climber,Abs,Iliopsoas,Standardized muscle terminology
6492,Parallette Push Up,https://youtu.be/Kbhl_O1N4aw,https://youtu.be/Jrh9F8L2NJ4,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars,Parallette Push Up,Chest,Triceps,Standardized muscle terminology
6493,Bodyweight Knee Hover Bird Dog,https://youtu.be/fGaqVUHB1aA,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight,Bodyweight Knee Hover Bird Dog,Abs,Glutes,Standardized muscle terminology
6494,Stability Ball V Up Pass,https://youtu.be/n4UPDi5BuL0,https://youtu.be/Lrmlsxk3zx4,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,V Up Pass,Abs,Iliopsoas,Removed equipment prefix for clarity